0101-301-01	FINANCIAL ACCOUNTING	DEY,R	*Open	40	39	MW	1000AM	1150AM	12	1135
0101-301-02	FINANCIAL ACCOUNTING	KEARNS,F	Open	39	38	TR	400P	550P	12	1215
0101-301-71	FINANCIAL ACCOUNTING	EVANS,W	Open	40	38	T	600P	950P	12	3215
0101-302-01	MANAGEMENT ACCOUNTING	OLIVER,B	Open	40	39	TR	200P	350P	12	3125
0101-302-02	MANAGEMENT ACCOUNTING	DEY,R	*Open	40	38	MW	800A	950A	12	3115
0101-345-71	ACCOUNTING INFO SYSTEMS	NEELY,M	*Open	28	17	W	600P	950P	12	3135
0101-409-01	FINAN. REPT. & ANLYS. II	KEARNS,F	*Open	40	26	MW	1200N	150P	12	3215
0101-494-71	COST ACCTG TECH ORG	MORSE,W	*Open	15	9	W	600P	950P	12	1135
0101-523-90	ADVANCED TAXATION	KLEIN,R	Open	25	19	NA	ONLINE	COURSE	NA	NA
0101-540-71	ADVANCED ACCOUNTING	OLIVER,B	*Open	20	12	M	600P	950P	12	3125
0101-554-01	FORENSIC&FRAUD ACCOUNTNG	KLEIN,R	Open	12	0	W	400P	550P	09	2129
0101-703-71	ACCTG FOR DECISION MAKER	MORSE,W	*Open	35	31	T	600P	920P	12	1135
0101-703-90	ACCTG FOR DECISION MAKER	KLEIN,R	Open	25	23	NA	ONLINE	COURSE	NA	NA
0101-704-71	CORP FINANCIAL REPT I	KARIM,K	Open	35	15	W	600P	920P	12	3125
0101-706-71	COST MANAGEMENT	KARIM,K	Open	34	16	T	600P	920P	12	1105
0101-707-71	ADVANCED ACCOUNTING	OLIVER,B	*Open	15	5	M	600P	950P	12	3125
0101-710-90	ADVANCED TAXATION	KLEIN,R	Open	25	6	NA	ONLINE	COURSE	NA	NA
0101-738-71	INF SYS AUDIT ASSUR SVCS	NEELY,M	Open	35	10	R	600P	920P	12	3105
0101-794-71	COST ACCTG TECH ORG	MORSE,W	Open	20	17	W	600P	920P	12	1135
0102-250-71	WORLD OF BUSINESS	WARD,J	Open	40	38	R	600P	950P	12	1215
0102-320-01	ORGANIZATIONAL BEHAVIOR	SMITH,D	Open	40	30	TR	800A	950A	12	3125
0102-320-71	ORGANIZATIONAL BEHAVIOR	GHITULESCU,B	Open	40	35	R	600P	950P	12	3245
0102-415-01	DIGITAL ENTREPRENEURSHIP	PEROTTI,V	*Open	32	23	TR	200P	350P	12	3135
0102-438-01	BUSINESS ETHICS	SCRIVENS,M	*Open	40	20	MW	800A	950A	12	1215
0102-438-11	BUSINESS ETHICS	BARBATO,R	Open	33	10	TR	500P	650P	AUK	102
0102-438-71	BUSINESS ETHICS	TYLER,B	Open	40	20	T	600P	950P	09	2149	TBA,
0102-460-71	LEADERSHIP IN ORGANIZ.	SMITH,D	*Open	40	38	R	600P	950P	12	3115
0102-490-71	ENTREPRENEURSHIP	TANG,Z	*Open	40	36	M	600P	950P	12	3245
0102-507-01	BUSINESS, GOVT, & SOCIET	SCRIVENS,M	*Open	40	29	MW	1000AM	1150AM	12	3125
0102-530-71	MANAGING INNOV & TECH	ANGELIS,J	*Open	40	21	W	600P	950P	86	1120
0102-551-01	STRATEGY & POLICY	HULL,C	*Open	40	38	TR	1200N	150P	70	1620
0102-551-71	STRATEGY & POLICY	LAWLOR,M	Open	40	30	T	600P	950P	12	3235
0102-720-01	ENTREP & NEW VENTURE CR	DEMARTINO,R	*Open	35	29	R	1200N	320P	12	1215
0102-735-71	STAT MGMT OF TECH INNOV	ETTLIE,J	*Open	35	30	M	600P	920P	12	1135
0102-740-01	ORG BEHAVIOR & LEADERSHP	ROTHENBERG,S	Open	35	26	M	1200N	320P	12	1215
0102-740-71	ORG BEHAVIOR & LEADERSHP	GIARRUSSO,T	Open	35	31	T	600P	920P	86	1150
0102-742-71	INTRO TECHNOLOGY MGMT	ETTLIE,J	Open	35	16	W	600P	920P	12	3225
0102-745-71	SOC & POL ENVIRON BUS	GIARRUSSO,T	Open	35	18	W	600P	920P	12	3245
0102-750-71	HUMAN RESOURCE MANAGMT	DOLAN,P	*Open	35	17	R	600P	920P	70	3445
0102-759-71	COMPETITIVE STRATEGY	HULL,C	Open	35	26	R	600P	920P	12	3235
0102-761-71	MNG RSCH & INNOVATION	BOEHNER,R	*Open	35	23	W	600P	920P	12	3115
0103-705-32	ECONOMICS FOR MANAGERS	GOLD,S	Open	35	5	TBA	TBA	TBA	TBA
0103-705-71	ECONOMICS FOR MANAGERS	GOLD,S	Open	35	20	W	600P	920P	12	1215
0103-712-71	MACROECONOMICS	STRIEBICH,J	Open	35	20	W	600P	920P	12	3235
0104-220-01	PERSONAL FINANCIAL MGMT	CURRAN,J	Open	40	37	MW	400P	550P	70	3455
0104-220-71	PERSONAL FINANCIAL MGMT	TESTA,A	Open	40	36	W	600P	950P	08	2355
0104-350-01	CORPORATE FINANCE	LAKEHAL-AYAT,M	Open	40	16	MW	800A	950A	70	1435
0104-350-71	CORPORATE FINANCE	EVANS,W	Open	40	39	R	600P	950P	12	3215
0104-361-71	FIN INSTITUTIONS & MKTS	GARGANO,R	*Open	40	25	R	600P	950P	70	1610
0104-504-01	FINANCE IN GLOBAL ENVIR	LAKEHAL-AYAT,M	*Open	40	38	MW	1000AM	1150AM	70	1610
0104-505-71	ADV. CORP. FINAN. PLNG.	TESTA,A	Open	40	16	T	600P	950P	70	3455
0104-721-32	FINANCIAL ANALYS MANAGER	KARIM,K	Open	35	3	TBA	TBA	TBA	TBA
0104-721-71	FINANCIAL ANALYS MANAGER	WOLLAN,P	Open	35	22	T	600P	920P	12	3115
0104-722-71	FINANCIAL MANAGEMENT II	LESSARD,J	Open	35	25	M	600P	920P	12	1215
0104-725-71	SECURITIES AND INVEST	LESSARD,J	*Open	35	22	T	600P	920P	12	1215
0104-760-71	FINANCE IN GLOBAL ENVIR	ROBIN,A	Open	35	30	W	600P	920P	12	3215
0105-363-01	PRINCIPLES OF MARKETING	LAWLOR,M	Open	40	30	MW	800A	950A	12	3125
0105-363-02	PRINCIPLES OF MARKETING	LAWLOR,M	Open	40	39	MW	1200N	150P	12	3125
0105-363-90	PRINCIPLES OF MARKETING	COLTON-HEBERT,D	Open	25	24	NA	ONLINE	COURSE	NA	NA
0105-440-01	INTERNET MARKETING	HAIR,N	*Open	40	25	MW	400P	550P	12	1215
0105-505-01	BUYER BEHAVIOR	DWYER,L	*Open	40	35	MW	400P	550P	12	3115
0105-550-01	MARKETING MANAGEMENT	DWYER,L	*Open	40	30	MW	1000AM	1150AM	12	3115
0105-551-01	MARKETING RESEARCH	SCULLY,K	*Open	40	16	MW	800A	950A	12	3245
0105-553-71	SALES MANAGEMENT	FARRAR,J	Open	40	17	W	600P	950P	86	1150
0105-559-71	PROFESSIONAL SELLING	MILLER,J	Open	40	32	T	600P	950P	12	3245
0105-761-01	MARKETING CONCEPTS	DWYER,L	Open	35	28	W	1200N	320P	12	1215
0105-761-71	MARKETING CONCEPTS	GAUB,J	Open	35	19	R	600P	920P	12	3225
0105-765-71	PROF SALES MANAGEMENT	WARD,J	*Open	35	26	T	600P	920P	12	3225
0105-772-71	INTER MKTG:STRAT & TACTS	HAIR,N	*Open	35	21	R	600P	920P	12	3125
0105-778-71	COMMERCIALIZING NEW PROD	BOEHNER,R	Open	35	15	R	600P	920P	70	1455
0106-401-01	OPS & SUPPLY CHAIN MGMT	STEVENSON,W	Open	40	39	TR	1000AM	1150AM	12	3125
0106-401-02	OPS & SUPPLY CHAIN MGMT	MERGEN,A	*Open	40	37	MW	200P	350P	12	3125
0106-401-71	OPS & SUPPLY CHAIN MGMT	MERGEN,A	Open	40	28	M	600P	950P	12	3225
0106-743-71	OPS & SUPPLY CHAIN MGMT	STEVENSON,W	*Open	35	20	T	600P	920P	12	3125
0106-744-71	PROJECT MANAGEMENT	ANGELIS,J	Open	35	29	R	600P	920P	70	3455
0106-782-90	STAT ANALYSIS DEC MAKING	MATTICE,H	Open	25	21	NA	ONLINE	COURSE	NA	NA
0110-319-01	LEGAL ENV OF BUSINESS	LAGROU,S	*Open	40	38	MW	1200N	150P	12	1135
0110-320-71	COMMERCIAL LAW	LAGROU,S	*Open	15	9	W	600P	950P	12	1115
0110-730-71	BUSINESS LEGAL CONCEPTS	LAGROU,S	*Open	35	11	M	600P	920P	12	3115
0110-731-71	COMMERCIAL LAW	LAGROU,S	Open	10	0	W	600P	920P	12	1115
0110-745-71	LEG ETH TECH INT ENVIRON	OLIVER,B	*Open	35	19	R	600P	920P	12	1135
0112-270-01	BUSINESS SOFTWARE APPLIC	BALLARD,D	*Open	32	30	M	1200N	150P	12	3135
0112-270-60	BUSINESS SOFTWARE APPLIC	PFUNTNER,M	*Open	32	28	R	600P	750P	12	3135
0112-270-71	BUSINESS SOFTWARE APPLIC	KOCH,L	Open	32	18	M	600P	750P	12	3135
0112-315-01	BUS INFO SYS PROCESSES	BUCCIARELLI,N	*Open	32	28	TR	1000AM	1150AM	12	3135
0112-325-01	APPLYING BUSINESS TECH	SCULLY,K	*Open	32	27	MW	200P	350P	12	3135
0112-330-01	BUSINESS PROGRAMMING	BALLARD,D	*Open	32	16	TR	800A	950A	12	3135
0112-370-71	SYSTEMS ANALYSIS & DES	COOK,J	*Open	40	25	R	600P	950P	70	2690
0112-710-71	INFO SYSTEMS CONCEPTS	HUNG,Y	Open	35	16	T	600P	920P	70	1620
0112-720-71	INFO SYSTEMS DESIGN	COOK,J	Open	35	6	W	600P	920P	12	3105
0112-760-71	INTEGRATED BUSINESS SYS	BAROODY JR,A	Open	34	10	T	600P	920P	12	3135	T	600P	920P	13	1350
0113-310-02	GLOBAL BUSINESS AN INTRO	TANG,Z	*Open	40	35	MW	1200N	150P	08	2365
0113-310-03	GLOBAL BUSINESS AN INTRO	LUXMORE,S	Open	40	15	MW	800A	950A	12	3235
0113-450-71	MARKETING GLOBAL ENVIR	WARD,J	Open	40	30	M	600P	920P	12	3235
0113-500-71	STRATEGY GLOBAL ENVIR	PRITCHARD,D	Open	40	38	R	600P	950P	09	1149
0113-730-71	MANAGING GLOBAL ENVIR	PEROTTI,V	*Open	35	23	M	600P	920P	09	1149
0301-205-01	EE FRESHMAN PRACTICUM	PESKIN,E	Open	20	5	T	900A	1150AM	09	3170
0301-205-02	EE FRESHMAN PRACTICUM	SAHIN,F	Open	20	8	W	200P	450P	09	3170
0301-240-04	DIGITAL SYSTEMS	OZBAS,M	Open	16	15	MTR	1000AM	1050AM	09	3139	F	800A	950A	09	3280
0301-347-01	COMPUTER ARCHITECTURE	PATRU,D	Open	12	11	MTR	200P	250P	09	3139	M	400P	550P	09	3280
0301-347-02	COMPUTER ARCHITECTURE	PATRU,D	Open	12	10	MTR	200P	250P	09	3139	R	900A	1050AM	09	3280
0301-453-02	LINEAR SYSTEMS I	SABER,E	Open	24	21	TR	200P	350P	09	3170
0301-481-02	ELECTRONICS I WITH LAB	MOON,J	Open	36	33	MTRF	200P	250P	09	1139	W	900A	1150AM	09	3200
0301-481-03	ELECTRONICS I WITH LAB	MOON,J	Open	22	20	MTRF	1000AM	1050AM	09	3129	W	400P	650P	09	3100
0301-499-01	CO-OP	SLACK,G	Open	999	52	TBA	TBA	TBA	TBA	DEWITT,D
0301-499-03	COOP-BS/MS STUDENTS	SLACK,G	Open	999	8	TBA	TBA	TBA	TBA	VICARI,P
0301-514-01	CONTROL SYSTEMS DESIGN	BROWN JR,E	Open	16	9	MTRF	1000AM	1050AM	09	3259	W	1100AM	150P	09	3100
0301-514-02	CONTROL SYSTEMS DESIGN	BROWN JR,E	Open	16	6	MTRF	1000AM	1050AM	09	3259	T	500P	750P	09	3100
