N	K	T	Spdup	Effic	EDSF	Devi

5	seq	1709				12%
5	1	1702	1.004	1.004		7%
5	2	1648	1.037	0.519	0.937	14%
5	3	1872	0.913	0.304	1.150	2%
5	4	1650	1.036	0.259	0.959	7%
5	8	1843	0.927	0.116	1.095	2%
5	16	1746	0.979	0.061	1.028	4%

10	seq	4509				11%
10	1	4541	0.993	0.993		1%
10	2	3483	1.295	0.647	0.534	3%
10	3	3193	1.412	0.471	0.555	6%
10	4	2791	1.616	0.404	0.486	7%
10	8	2420	1.863	0.233	0.466	9%
10	16	2388	1.888	0.118	0.494	3%

20	seq	21182				5%
20	1	20056	1.056	1.056		7%
20	2	13204	1.604	0.802	0.317	2%
20	3	9678	2.189	0.730	0.224	9%
20	4	8221	2.577	0.644	0.213	2%
20	8	5991	3.536	0.442	0.199	1%
20	16	4736	4.473	0.280	0.185	5%

50	seq	132444				3%
50	1	135774	0.975	0.975		4%
50	2	74421	1.780	0.890	0.096	3%
50	3	52483	2.524	0.841	0.080	0%
50	4	41492	3.192	0.798	0.074	1%
50	8	23670	5.595	0.699	0.056	1%
50	16	14706	9.006	0.563	0.049	2%

100	seq	567950				6%
100	1	586959	0.968	0.968		3%
100	2	301150	1.886	0.943	0.026	2%
100	3	206980	2.744	0.915	0.029	1%
100	4	157695	3.602	0.900	0.025	0%
100	8	78566	7.229	0.904	0.010	2%
100	16	43198	13.148	0.822	0.012	1%

200	seq	2369339				2%
200	1	2354160	1.006	1.006		4%
200	2	1193548	1.985	0.993	0.014	3%
200	3	794773	2.981	0.994	0.006	0%
200	4	592782	3.997	0.999	0.002	1%
200	8	293621	8.069	1.009	-0.000	4%
200	16	146560	16.166	1.010	-0.000	3%
