N	K	T	Spdup	Effic	EDSF	Devi

5	seq	11276				1%
5	1	11354	0.993	0.993		2%
5	2	6869	1.642	0.821	0.210	3%
5	3	5613	2.009	0.670	0.242	2%
5	4	4674	2.412	0.603	0.216	0%
5	8	3436	3.282	0.410	0.203	7%
5	16	2991	3.770	0.236	0.214	1%

10	seq	45988				6%
10	1	45807	1.004	1.004		0%
10	2	24623	1.868	0.934	0.075	1%
10	3	17538	2.622	0.874	0.074	0%
10	4	13816	3.329	0.832	0.069	1%
10	8	8372	5.493	0.687	0.066	1%
10	16	5729	8.027	0.502	0.067	3%

20	seq	293886				1%
20	1	291747	1.007	1.007		3%
20	2	146783	2.002	1.001	0.006	2%
20	3	101138	2.906	0.969	0.020	2%
20	4	75868	3.874	0.968	0.013	3%
20	8	40442	7.267	0.908	0.016	1%
20	16	22436	13.099	0.819	0.015	7%

50	seq	2202029				2%
50	1	2202608	1.000	1.000		2%
50	2	1104792	1.993	0.997	0.003	2%
50	3	741593	2.969	0.990	0.005	2%
50	4	558338	3.944	0.986	0.005	2%
50	8	284154	7.749	0.969	0.005	3%
50	16	148798	14.799	0.925	0.005	4%
